,file,repeat,Resolution Range (Å),bin,Spacegroup,CCanom
0,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,34.35 - 4.12,0,P 61 2 2,0.2813875
1,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,34.35 - 4.12,0,P 61 2 2,0.24464588
2,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,34.35 - 4.12,0,P 61 2 2,0.25731713
3,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,4.12 - 3.24,1,P 61 2 2,0.08931196
4,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,4.12 - 3.24,1,P 61 2 2,0.09789971
5,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,4.12 - 3.24,1,P 61 2 2,0.12755285
6,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,3.24 - 2.81,2,P 61 2 2,0.1372237
7,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,3.24 - 2.81,2,P 61 2 2,0.17336185
8,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,3.24 - 2.81,2,P 61 2 2,0.14415206
9,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.81 - 2.55,3,P 61 2 2,0.10905769
10,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.81 - 2.55,3,P 61 2 2,0.07535906
11,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.81 - 2.55,3,P 61 2 2,0.083572194
12,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.55 - 2.36,4,P 61 2 2,0.09732545
13,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.55 - 2.36,4,P 61 2 2,0.08504036
14,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.55 - 2.36,4,P 61 2 2,0.11915372
15,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.36 - 2.21,5,P 61 2 2,0.09183831
16,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.36 - 2.21,5,P 61 2 2,0.09306752
17,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.36 - 2.21,5,P 61 2 2,0.07983494
18,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.21 - 2.10,6,P 61 2 2,0.071997136
19,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.21 - 2.10,6,P 61 2 2,0.07324354
20,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.21 - 2.10,6,P 61 2 2,0.07837915
21,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.10 - 2.00,7,P 61 2 2,0.1131097
22,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.10 - 2.00,7,P 61 2 2,0.11543226
23,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.10 - 2.00,7,P 61 2 2,0.08335418
24,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.00 - 1.91,8,P 61 2 2,0.11607976
25,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.00 - 1.91,8,P 61 2 2,0.12966204
26,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.00 - 1.91,8,P 61 2 2,0.11928593
27,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,1.91 - 1.80,9,P 61 2 2,0.20164575
28,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,1.91 - 1.80,9,P 61 2 2,0.20285334
29,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,1.91 - 1.80,9,P 61 2 2,0.20072788
