,file,repeat,Resolution Range (Å),bin,Spacegroup,CChalf
0,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,34.35 - 4.01,0,P 61 2 2,0.9920432643003501
1,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,34.35 - 4.01,0,P 61 2 2,0.9918838251051804
2,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,34.35 - 4.01,0,P 61 2 2,0.991538185618067
3,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,4.01 - 3.18,1,P 61 2 2,0.9863883860235896
4,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,4.01 - 3.18,1,P 61 2 2,0.9872511298040317
5,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,4.01 - 3.18,1,P 61 2 2,0.9878170777193062
6,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,3.18 - 2.78,2,P 61 2 2,0.9804416123362312
7,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,3.18 - 2.78,2,P 61 2 2,0.9809452691338374
8,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,3.18 - 2.78,2,P 61 2 2,0.9807407055475911
9,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.78 - 2.53,3,P 61 2 2,0.9735515567628871
10,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.78 - 2.53,3,P 61 2 2,0.9743968745727483
11,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.78 - 2.53,3,P 61 2 2,0.9742255031151944
12,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.53 - 2.34,4,P 61 2 2,0.9634583650440083
13,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.53 - 2.34,4,P 61 2 2,0.9611411296012522
14,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.53 - 2.34,4,P 61 2 2,0.9635551677525414
15,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.34 - 2.21,5,P 61 2 2,0.9554026468328457
16,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.34 - 2.21,5,P 61 2 2,0.956886370913148
17,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.34 - 2.21,5,P 61 2 2,0.9554663071841555
18,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.21 - 2.10,6,P 61 2 2,0.9252154717901044
19,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.21 - 2.10,6,P 61 2 2,0.9302653959702626
20,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.21 - 2.10,6,P 61 2 2,0.9241735942609371
21,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.10 - 2.00,7,P 61 2 2,0.8502872237109557
22,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.10 - 2.00,7,P 61 2 2,0.8524563363059576
23,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.10 - 2.00,7,P 61 2 2,0.8452885175989215
24,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.00 - 1.91,8,P 61 2 2,0.7284385255063262
25,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.00 - 1.91,8,P 61 2 2,0.7094345253809434
26,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.00 - 1.91,8,P 61 2 2,0.7152945788551845
27,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,1.91 - 1.80,9,P 61 2 2,0.6081584613705129
28,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,1.91 - 1.80,9,P 61 2 2,0.6132992083245692
29,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,1.91 - 1.80,9,P 61 2 2,0.5986675122400604
