,file,Resolution Range (Å),bin,test,Spacegroup,CCpred
0,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,34.35 - 5.79,0,Train,P 61 2 2,0.9318989570015688
1,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,34.35 - 5.79,0,Test,P 61 2 2,0.8989083307975074
2,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,5.79 - 4.22,1,Train,P 61 2 2,0.9354089236085555
3,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,5.79 - 4.22,1,Test,P 61 2 2,0.9246469607198154
4,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,4.22 - 3.49,2,Train,P 61 2 2,0.9341957965102933
5,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,4.22 - 3.49,2,Test,P 61 2 2,0.9256840275413013
6,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,3.49 - 3.03,3,Train,P 61 2 2,0.9229039958562913
7,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,3.49 - 3.03,3,Test,P 61 2 2,0.9192020574847662
8,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,3.03 - 2.72,4,Train,P 61 2 2,0.914951152379386
9,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,3.03 - 2.72,4,Test,P 61 2 2,0.9043975819655501
10,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.72 - 2.49,5,Train,P 61 2 2,0.8939355799370371
11,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.72 - 2.49,5,Test,P 61 2 2,0.8843337141275239
12,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.49 - 2.32,6,Train,P 61 2 2,0.8441398606006285
13,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.49 - 2.32,6,Test,P 61 2 2,0.832254733423537
14,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.32 - 2.19,7,Train,P 61 2 2,0.8342463667224524
15,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.32 - 2.19,7,Test,P 61 2 2,0.8230403316974538
16,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.19 - 2.04,8,Train,P 61 2 2,0.7874555370796554
17,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.19 - 2.04,8,Test,P 61 2 2,0.7572032883265072
18,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.04 - 1.80,9,Train,P 61 2 2,0.7278146835886633
19,./thermolysin_dw/thl_1p8A_grid_predictions_0.mtz,2.04 - 1.80,9,Test,P 61 2 2,0.6279767131410545
20,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,34.35 - 5.79,0,Train,P 61 2 2,0.9343320906989856
21,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,34.35 - 5.79,0,Test,P 61 2 2,0.8886484234053447
22,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,5.79 - 4.22,1,Train,P 61 2 2,0.93698431436645
23,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,5.79 - 4.22,1,Test,P 61 2 2,0.9142146729966572
24,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,4.22 - 3.49,2,Train,P 61 2 2,0.9365090825640653
25,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,4.22 - 3.49,2,Test,P 61 2 2,0.9285410686556497
26,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,3.49 - 3.03,3,Train,P 61 2 2,0.9272888407036124
27,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,3.49 - 3.03,3,Test,P 61 2 2,0.9159836034013028
28,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,3.03 - 2.72,4,Train,P 61 2 2,0.9192484085982969
29,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,3.03 - 2.72,4,Test,P 61 2 2,0.9094995404492403
30,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.72 - 2.49,5,Train,P 61 2 2,0.8950953120188145
31,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.72 - 2.49,5,Test,P 61 2 2,0.8940584097806793
32,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.49 - 2.32,6,Train,P 61 2 2,0.8528945326468518
33,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.49 - 2.32,6,Test,P 61 2 2,0.8443795382502401
34,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.32 - 2.19,7,Train,P 61 2 2,0.8376739035426809
35,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.32 - 2.19,7,Test,P 61 2 2,0.8229848515672346
36,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.19 - 2.04,8,Train,P 61 2 2,0.7913593003090142
37,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.19 - 2.04,8,Test,P 61 2 2,0.7634292976934277
38,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.04 - 1.80,9,Train,P 61 2 2,0.7252760798630034
39,./thermolysin_dw/thl_1p8A_grid_predictions_1.mtz,2.04 - 1.80,9,Test,P 61 2 2,0.6498518606244555
