Resolution Range (Å),all,non-anomalous,anomalous
overall,0.9839831687536055,0.9847258526753377,0.98311568879897
34.35 - 4.01,1.0,1.0,1.0
4.01 - 3.15,1.0,1.0,1.0
3.15 - 2.73,1.0,1.0,1.0
2.73 - 2.48,1.0,1.0,1.0
2.48 - 2.29,0.9998289721224559,0.9996802046690119,1.0
2.29 - 2.16,1.0,1.0,1.0
2.16 - 2.04,0.9996613039796782,0.9996803069053708,0.9996398991717681
2.04 - 1.95,0.9952822240943555,0.9955428207577205,0.9949892627057981
1.95 - 1.87,0.9777301220719234,0.9784105131414268,0.9769713886950454
1.87 - 1.80,0.8838112305854241,0.8865891692656649,0.8807194698643105
