,file,repeat,Resolution Range (Å),bin,Spacegroup,Rsplit
0,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,34.35 - 4.01,0,P 61 2 2,0.03382910581372335
1,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,34.35 - 4.01,0,P 61 2 2,0.034077508952742336
2,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,34.35 - 4.01,0,P 61 2 2,0.034702411739615614
3,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,4.01 - 3.18,1,P 61 2 2,0.04030251547018935
4,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,4.01 - 3.18,1,P 61 2 2,0.04067838995458088
5,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,4.01 - 3.18,1,P 61 2 2,0.04035567420393184
6,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,3.18 - 2.78,2,P 61 2 2,0.04956285267880189
7,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,3.18 - 2.78,2,P 61 2 2,0.0496332076927192
8,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,3.18 - 2.78,2,P 61 2 2,0.05002414018226598
9,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.78 - 2.53,3,P 61 2 2,0.058266441869563264
10,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.78 - 2.53,3,P 61 2 2,0.058895013291613514
11,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.78 - 2.53,3,P 61 2 2,0.05784737543294821
12,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.53 - 2.34,4,P 61 2 2,0.06932349197622312
13,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.53 - 2.34,4,P 61 2 2,0.07058132388786377
14,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.53 - 2.34,4,P 61 2 2,0.06899714926805009
15,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.34 - 2.21,5,P 61 2 2,0.07205421125585258
16,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.34 - 2.21,5,P 61 2 2,0.07025821643476142
17,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.34 - 2.21,5,P 61 2 2,0.0731350786120987
18,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.21 - 2.10,6,P 61 2 2,0.09398074912150901
19,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.21 - 2.10,6,P 61 2 2,0.09122295688343304
20,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.21 - 2.10,6,P 61 2 2,0.0929877365249604
21,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.10 - 2.00,7,P 61 2 2,0.12215711971033483
22,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.10 - 2.00,7,P 61 2 2,0.12232799530157235
23,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.10 - 2.00,7,P 61 2 2,0.12246695597466614
24,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,2.00 - 1.91,8,P 61 2 2,0.16327115551921273
25,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,2.00 - 1.91,8,P 61 2 2,0.16531519801972655
26,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,2.00 - 1.91,8,P 61 2 2,0.16588322018567603
27,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,0,1.91 - 1.80,9,P 61 2 2,0.1780805913108435
28,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,1,1.91 - 1.80,9,P 61 2 2,0.17806967730308884
29,./thermolysin_dw/thl_1p8A_grid_xval_both.mtz,2,1.91 - 1.80,9,P 61 2 2,0.18427638066035554
