step,Grad Norm,loss,F KLDiv,NLL,NLL_val
0,12121756.0,40866572.0,1393142.375,39473428.0,39477129.54364233
1,12116322.0,40845368.0,1386517.5,39458852.0,39477129.54364233
2,12109104.0,40816500.0,1372667.5,39443832.0,39477129.54364233
3,12103919.0,40807376.0,1379524.125,39427852.0,39477129.54364233
4,12093783.0,40764180.0,1352536.5,39411644.0,39477129.54364233
5,12086616.0,40750828.0,1355230.625,39395596.0,39477129.54364233
6,12079009.0,40728628.0,1349831.75,39378796.0,39477129.54364233
7,12072032.0,40720604.0,1357733.75,39362872.0,39477129.54364233
8,12064385.0,40694040.0,1348626.0,39345416.0,39477129.54364233
9,12056278.0,40696516.0,1368966.25,39327548.0,39477129.54364233
10,12049148.0,40697348.0,1387449.0,39309900.0,39307159.834823
11,12042154.0,40646716.0,1355569.125,39291148.0,39307159.834823
12,12034128.0,40626748.0,1356554.75,39270192.0,39307159.834823
13,12029459.0,40616292.0,1364571.25,39251720.0,39307159.834823
14,12020276.0,40597632.0,1367592.0,39230040.0,39307159.834823
15,12015741.0,40549940.0,1342741.75,39207200.0,39307159.834823
16,12012405.0,40534568.0,1351259.25,39183308.0,39307159.834823
17,12004912.0,40505676.0,1347773.75,39157904.0,39307159.834823
18,12002625.0,40502720.0,1371759.75,39130960.0,39307159.834823
19,12000493.0,40450336.0,1344656.0,39105680.0,39307159.834823
20,12001673.0,40434408.0,1359637.25,39074772.0,39060730.09461865
21,12005007.0,40401396.0,1358246.375,39043148.0,39060730.09461865
22,12015855.0,40358104.0,1354891.375,39003212.0,39060730.09461865
23,12023998.0,40319316.0,1355349.75,38963968.0,39060730.09461865
24,12037546.0,40246404.0,1318376.75,38928028.0,39060730.09461865
25,12074333.0,40233456.0,1355462.875,38877992.0,39060730.09461865
26,12068946.0,40176476.0,1340892.875,38835584.0,39060730.09461865
27,12101940.0,40137712.0,1362397.0,38775316.0,39060730.09461865
28,12130076.0,40055536.0,1340960.75,38714576.0,39060730.09461865
29,12102823.0,39999544.0,1338264.0,38661280.0,39060730.09461865
30,12109475.0,39936656.0,1346537.75,38590120.0,38569527.40579858
31,12051306.0,39886880.0,1348095.875,38538784.0,38569527.40579858
32,12010289.0,39778456.0,1311277.25,38467180.0,38569527.40579858
33,11963682.0,39760212.0,1354069.75,38406144.0,38569527.40579858
34,11940801.0,39703884.0,1357748.75,38346136.0,38569527.40579858
35,11971374.0,39629872.0,1344987.25,38284884.0,38569527.40579858
36,12051825.0,39554728.0,1344356.125,38210372.0,38569527.40579858
37,12148027.0,39496416.0,1344967.75,38151448.0,38569527.40579858
38,12177918.0,39405920.0,1339278.0,38066640.0,38569527.40579858
39,12277328.0,39338768.0,1341186.0,37997584.0,38569527.40579858
40,12281865.0,39254084.0,1331518.5,37922564.0,37854005.040610455
41,12259863.0,39202736.0,1346162.25,37856572.0,37854005.040610455
42,12110528.0,39093240.0,1326207.0,37767032.0,37854005.040610455
43,11952833.0,38988848.0,1333747.75,37655100.0,37854005.040610455
44,11897514.0,38916956.0,1327372.75,37589584.0,37854005.040610455
45,11794949.0,38835960.0,1322842.125,37513116.0,37854005.040610455
46,11721234.0,38757072.0,1350045.25,37407028.0,37854005.040610455
47,11711747.0,38679404.0,1325053.25,37354352.0,37854005.040610455
48,11665934.0,38603620.0,1326547.5,37277072.0,37854005.040610455
49,11674016.0,38508336.0,1347205.75,37161132.0,37854005.040610455
50,11622492.0,38421432.0,1323005.25,37098428.0,37108856.270397946
51,11566503.0,38362884.0,1323024.75,37039860.0,37108856.270397946
52,11546604.0,38247184.0,1314537.5,36932648.0,37108856.270397946
53,11533395.0,38194972.0,1313285.25,36881688.0,37108856.270397946
54,11535555.0,38161000.0,1312207.25,36848792.0,37108856.270397946
55,11552913.0,38105732.0,1323908.125,36781824.0,37108856.270397946
56,11557225.0,38025204.0,1320172.125,36705032.0,37108856.270397946
57,11523198.0,37961616.0,1327523.25,36634092.0,37108856.270397946
58,11441286.0,37885904.0,1316281.5,36569624.0,37108856.270397946
59,11401263.0,37828972.0,1309086.5,36519884.0,37108856.270397946
60,11334403.0,37758172.0,1321499.875,36436672.0,36381612.55493537
61,11315154.0,37720608.0,1323753.25,36396856.0,36381612.55493537
62,11295776.0,37673136.0,1317095.625,36356040.0,36381612.55493537
63,11284300.0,37585760.0,1314892.25,36270868.0,36381612.55493537
64,11276322.0,37506424.0,1306000.375,36200424.0,36381612.55493537
65,11243878.0,37452796.0,1299206.25,36153588.0,36381612.55493537
66,11230740.0,37378284.0,1304006.5,36074276.0,36381612.55493537
67,11184594.0,37314296.0,1296865.375,36017432.0,36381612.55493537
68,11175945.0,37312120.0,1313260.5,35998860.0,36381612.55493537
69,11152707.0,37221104.0,1287213.5,35933892.0,36381612.55493537
70,11156447.0,37188100.0,1295183.75,35892916.0,36023227.82442005
71,11144867.0,37137348.0,1309945.375,35827404.0,36023227.82442005
72,11100367.0,37082364.0,1298276.625,35784088.0,36023227.82442005
73,11055406.0,37008440.0,1290023.625,35718416.0,36023227.82442005
74,11057285.0,36997716.0,1306449.75,35691268.0,36023227.82442005
75,11099920.0,36910152.0,1290596.75,35619556.0,36023227.82442005
76,11113671.0,36832584.0,1285534.625,35547048.0,36023227.82442005
77,11027685.0,36806540.0,1275890.25,35530648.0,36023227.82442005
78,10990035.0,36745308.0,1296980.25,35448328.0,36023227.82442005
79,10963057.0,36678456.0,1285618.75,35392836.0,36023227.82442005
80,10948072.0,36621256.0,1273538.5,35347716.0,35394804.073562406
81,10943402.0,36555000.0,1308726.875,35246272.0,35394804.073562406
82,10938509.0,36528556.0,1282174.375,35246380.0,35394804.073562406
83,10901883.0,36471808.0,1291163.0,35180644.0,35394804.073562406
84,10890614.0,36443896.0,1299226.875,35144668.0,35394804.073562406
85,10882106.0,36324268.0,1294457.75,35029812.0,35394804.073562406
86,10898633.0,36263484.0,1292316.75,34971168.0,35394804.073562406
87,10854962.0,36190984.0,1274755.25,34916228.0,35394804.073562406
88,10825769.0,36134732.0,1269379.875,34865352.0,35394804.073562406
89,10815180.0,36125864.0,1291321.125,34834544.0,35394804.073562406
90,10792350.0,36038676.0,1292949.75,34745728.0,34789982.84961615
91,10819638.0,35966548.0,1276265.875,34690284.0,34789982.84961615
92,10785875.0,35907812.0,1276323.25,34631488.0,34789982.84961615
93,10720158.0,35875404.0,1288504.5,34586900.0,34789982.84961615
94,10737976.0,35739228.0,1261898.5,34477328.0,34789982.84961615
95,10700662.0,35730388.0,1292803.75,34437584.0,34789982.84961615
96,10685184.0,35661624.0,1262671.125,34398952.0,34789982.84961615
97,10665514.0,35559608.0,1287793.0,34271816.0,34789982.84961615
98,10637686.0,35529196.0,1283419.75,34245776.0,34789982.84961615
99,10626204.0,35415296.0,1265882.5,34149412.0,34789982.84961615
100,10594925.0,35369340.0,1270606.5,34098732.0,34199356.907949634
101,10638084.0,35320516.0,1263798.75,34056716.0,34199356.907949634
102,10610585.0,35225348.0,1273027.875,33952320.0,34199356.907949634
103,10612692.0,35207448.0,1286468.25,33920980.0,34199356.907949634
104,10497206.0,35143292.0,1265338.25,33877952.0,34199356.907949634
105,10501423.0,35061780.0,1271775.75,33790004.0,34199356.907949634
106,10506335.0,35012304.0,1268646.625,33743656.0,34199356.907949634
107,10438289.0,34931636.0,1273673.5,33657964.0,34199356.907949634
108,10424895.0,34886996.0,1267915.875,33619080.0,34199356.907949634
109,10429018.0,34797356.0,1265278.875,33532076.0,34199356.907949634
110,10536361.0,34760908.0,1256087.5,33504822.0,33389005.735067774
111,10344508.0,34624872.0,1268637.5,33356234.0,33389005.735067774
112,10327439.0,34639948.0,1276835.75,33363112.0,33389005.735067774
113,10366133.0,34503152.0,1251495.25,33251658.0,33389005.735067774
114,10267784.0,34444696.0,1266023.125,33178672.0,33389005.735067774
115,10312775.0,34386456.0,1280302.0,33106154.0,33389005.735067774
116,10336531.0,34311148.0,1264415.5,33046734.0,33389005.735067774
117,10236867.0,34265264.0,1258203.5,33007062.0,33389005.735067774
118,10189359.0,34150968.0,1243980.75,32906988.0,33389005.735067774
119,10167448.0,34090308.0,1240551.75,32849758.0,33389005.735067774
120,10159568.0,34048704.0,1254179.0,32794526.0,32663204.959018674
121,10121907.0,33950880.0,1261039.25,32689842.0,32663204.959018674
122,10092446.0,33820252.0,1252546.625,32567706.0,32663204.959018674
123,10067686.0,33777680.0,1233945.25,32543736.0,32663204.959018674
124,10197114.0,33744184.0,1254026.375,32490158.0,32663204.959018674
125,10127574.0,33646636.0,1246716.75,32399918.0,32663204.959018674
126,10013499.0,33582120.0,1251506.5,32330612.0,32663204.959018674
127,10118255.0,33496958.0,1257126.0,32239832.0,32663204.959018674
128,10067536.0,33427848.0,1236578.25,32191270.0,32663204.959018674
129,10066330.0,33306572.0,1241492.125,32065080.0,32663204.959018674
130,9967293.0,33240602.0,1240184.125,32000418.0,31906442.890157063
131,10154015.0,33155356.0,1215621.375,31939734.0,31906442.890157063
132,9980863.0,33123628.0,1260842.0,31862786.0,31906442.890157063
133,10105188.0,33063776.0,1230394.75,31833382.0,31906442.890157063
134,9932320.0,32888414.0,1246031.5,31642382.0,31906442.890157063
135,9912949.0,32834954.0,1239760.125,31595194.0,31906442.890157063
136,10959277.0,32747236.0,1239303.0,31507932.0,31906442.890157063
137,10299535.0,32722308.0,1233381.75,31488926.0,31906442.890157063
138,9937405.0,32600116.0,1238484.875,31361632.0,31906442.890157063
139,10040839.0,32563046.0,1244212.75,31318834.0,31906442.890157063
140,9970955.0,32404690.0,1230686.375,31174004.0,31244568.156952918
141,10005167.0,32318586.0,1218638.375,31099948.0,31244568.156952918
142,10618331.0,32229696.0,1239573.75,30990122.0,31244568.156952918
143,10209084.0,32099172.0,1227008.25,30872164.0,31244568.156952918
144,10040988.0,32025738.0,1232383.875,30793354.0,31244568.156952918
145,10025186.0,31875918.0,1227581.25,30648336.0,31244568.156952918
146,10722304.0,31759308.0,1235075.875,30524232.0,31244568.156952918
147,10101941.0,31743434.0,1239863.25,30503570.0,31244568.156952918
148,10520891.0,31538880.0,1233195.25,30305684.0,31244568.156952918
149,11096894.0,31494106.0,1228164.25,30265942.0,31244568.156952918
150,10425570.0,31346082.0,1229845.5,30116236.0,30054577.598420084
151,10328274.0,31187654.0,1227790.75,29959864.0,30054577.598420084
152,10513155.0,31086768.0,1217376.875,29869392.0,30054577.598420084
153,10568843.0,30943744.0,1223099.625,29720644.0,30054577.598420084
154,10695737.0,30734832.0,1219322.0,29515510.0,30054577.598420084
155,11408732.0,30622800.0,1207824.0,29414976.0,30054577.598420084
156,12333748.0,30472270.0,1226653.625,29245616.0,30054577.598420084
157,11028994.0,30313886.0,1241123.875,29072762.0,30054577.598420084
158,11169946.0,30183602.0,1218622.5,28964980.0,30054577.598420084
159,11188042.0,29966802.0,1213800.5,28753002.0,30054577.598420084
160,11644301.0,29837200.0,1231363.0,28605836.0,28555804.758632038
161,13070729.0,29624876.0,1191698.125,28433178.0,28555804.758632038
162,12621430.0,29368330.0,1208084.875,28160246.0,28555804.758632038
163,11843871.0,29192674.0,1210494.625,27982180.0,28555804.758632038
164,11915448.0,29003472.0,1216326.375,27787146.0,28555804.758632038
165,12501885.0,28780826.0,1200817.5,27580008.0,28555804.758632038
166,12262139.0,28538152.0,1213036.0,27325116.0,28555804.758632038
167,13785170.0,28261700.0,1221530.875,27040170.0,28555804.758632038
168,13351588.0,28013476.0,1222617.25,26790858.0,28555804.758632038
169,12892640.0,27875396.0,1222298.875,26653098.0,28555804.758632038
170,13089674.0,27609318.0,1211275.5,26398042.0,26006088.044601962
171,14892917.0,27212226.0,1216490.5,25995736.0,26006088.044601962
172,14022684.0,27053136.0,1215807.5,25837328.0,26006088.044601962
173,13966123.0,26640728.0,1190728.75,25450000.0,26006088.044601962
174,13832898.0,26325370.0,1218187.5,25107182.0,26006088.044601962
175,14078742.0,26055300.0,1213879.0,24841420.0,26006088.044601962
176,14347571.0,25758810.0,1212548.5,24546262.0,26006088.044601962
177,14619189.0,25429134.0,1208609.125,24220524.0,26006088.044601962
178,14591413.0,25179400.0,1197743.0,23981658.0,26006088.044601962
179,14452965.0,24824100.0,1217613.75,23606486.0,26006088.044601962
180,14466217.0,24443928.0,1194424.75,23249504.0,23053111.409405306
181,14395795.0,24191490.0,1205860.625,22985630.0,23053111.409405306
182,14129869.0,23876374.0,1203537.5,22672836.0,23053111.409405306
183,14185039.0,23545722.0,1182768.0,22362954.0,23053111.409405306
184,14152294.0,23204124.0,1207051.75,21997072.0,23053111.409405306
185,13851097.0,22861770.0,1206138.5,21655632.0,23053111.409405306
186,13741469.0,22661204.0,1193107.0,21468098.0,23053111.409405306
187,13657211.0,22284892.0,1204453.0,21080438.0,23053111.409405306
188,13287351.0,22008602.0,1190465.125,20818136.0,23053111.409405306
189,13176000.0,21694904.0,1191743.25,20503160.0,23053111.409405306
190,12983157.0,21421026.0,1195352.25,20225674.0,19926122.133740984
191,12754094.0,21123564.0,1196498.0,19927066.0,19926122.133740984
192,12570913.0,20896648.0,1173269.875,19723378.0,19926122.133740984
193,12417986.0,20543598.0,1189140.125,19354458.0,19926122.133740984
194,12177931.0,20221964.0,1180281.75,19041682.0,19926122.133740984
195,11948946.0,19981900.0,1179866.5,18802034.0,19926122.133740984
196,11762086.0,19808480.0,1207510.25,18600970.0,19926122.133740984
197,11558966.0,19394156.0,1169729.25,18224426.0,19926122.133740984
198,11419700.0,19409172.0,1178059.25,18231112.0,19926122.133740984
199,11216753.0,19045918.0,1172526.75,17873392.0,19926122.133740984
200,10973372.0,18773684.0,1177749.75,17595934.0,17376817.366532534
201,10834877.0,18613542.0,1191279.25,17422262.0,17376817.366532534
202,10560738.0,18307460.0,1182823.0,17124636.0,17376817.366532534
203,10419140.0,18155488.0,1175904.5,16979584.0,17376817.366532534
204,10195947.0,17935160.0,1179661.5,16755498.0,17376817.366532534
205,10045549.0,17826908.0,1183004.375,16643904.0,17376817.366532534
206,9814619.0,17508936.0,1178001.375,16330935.0,17376817.366532534
207,9621805.0,17364668.0,1177501.75,16187166.0,17376817.366532534
208,9459630.0,17184428.0,1171795.375,16012633.0,17376817.366532534
209,9273890.0,17009904.0,1162905.5,15846999.0,17376817.366532534
210,9057097.0,16809792.0,1179019.25,15630772.0,15591030.145845309
211,8916474.0,16657785.0,1184185.375,15473600.0,15591030.145845309
212,8687310.0,16476230.0,1189224.5,15287006.0,15591030.145845309
213,8523875.0,16324368.0,1161481.625,15162886.0,15591030.145845309
214,8372064.0,16235349.0,1174042.625,15061306.0,15591030.145845309
215,8212891.5,16102860.0,1160584.0,14942276.0,15591030.145845309
216,8091055.5,15974327.0,1161755.125,14812572.0,15591030.145845309
217,7841356.5,15780496.0,1164524.375,14615972.0,15591030.145845309
218,7701872.5,15661659.0,1169811.125,14491848.0,15591030.145845309
219,7541612.0,15458408.0,1146427.875,14311980.0,15591030.145845309
220,7346863.0,15388814.0,1152484.75,14236329.0,14175445.80219556
221,7193163.0,15382367.0,1175141.375,14207226.0,14175445.80219556
222,7174712.0,15256595.0,1156656.75,14099938.0,14175445.80219556
223,6916541.0,15008390.0,1151640.5,13856749.0,14175445.80219556
224,6733355.5,14858244.0,1161862.25,13696382.0,14175445.80219556
225,6613556.0,14782605.0,1149311.875,13633293.0,14175445.80219556
226,6531604.5,14799250.0,1164629.875,13634620.0,14175445.80219556
